source,capability,maturity,disposition,extract_or_use,do_not_do,evidence_paths
content-engine--asset-amplifier,Post-production content yield,Operational / production-oriented,Retain as service,"Ingest adapter, fragment extraction, scoring, approvals, platform variants, analytics",Do not make it canonical raw-media archive or guest CRM,README.md; CLAUDE.md; package.json
multi-camera--livestream--framework,Capture profiles and studio runbooks,Operational configuration/runbook framework,Retain and add podcast profiles,"YAML profiles, preflight checks, health checks, local recording, NDI/Dante/camera patterns",Do not market as a finished customer streaming app,README.md; docs/VIDEO-CAPTURE.md; docs/AUDIO-DANTE.md
universal-mail--automation,"Inbox triage, follow-up, evidence, approvals",Substantial operational system,Retain as service,"Mail ingestion, classification, escalation, draft approval, delivery receipts, redaction",Do not permit blind autonomous sending,README.md; PROCESS.md
application-pipeline,"Opportunity state machine, scoring, CRM, analytics","Mature, heavily tested",Extract packages and patterns,"Pipeline lifecycle, scorecards, funnel/velocity, next actions, CRM, network graph",Do not preserve job-application terminology in product,README.md; scripts/crm.py; scripts/network_graph.py
public-record-data-scrapper,Multi-tenant contact/activity backend,"Production-oriented, heavily tested",Extract service/database shell,"ContactsService, activities, associations, Postgres, Redis, workers, OpenAPI, auth",Do not reuse UCC/MCA scraping domain or lead language,README.md; server/services/ContactsService.ts; database/migrations/005_contacts.sql
mirror-mirror,"Booking, group booking, reminders, calendar UX",Rich prototype; mocked calendar/client scheduler,Extract interaction patterns; rewrite backend,"Booking UI, preference schema, confirmation, reminders, exports, operator dashboard",Do not treat mock calendar connection or browser interval as production scheduling,README.md; src/components/Booking.tsx; src/lib/reminderScheduler.ts; src/components/CalendarSync.tsx
media-ark,Canonical media archive,Operational local-first system,Retain as service,"Hashes, dedupe, sidecars, metadata, watch ingest, verification, repair",Do not let derivative workers overwrite canonical masters,README.md
salon-archive,Conversation archive and transcript metadata,Defined system with export implementation,Adapt domain model,"Sessions, participants, consent, transcript segments, outputs, taxonomy, search",Do not assume all participant contributions are public,README.md; src/export.py
session-meta,"Transcript ingestion, atomization, provenance, redaction",Operational archive tooling,Extract ingestion primitives,"Manifest, atoms, source adapters, hashes, redaction",Do not import private historical corpora into customer tenants,README.md
linguistic-atomization-framework,Transcript and rhetorical intelligence,Implemented analytical platform,Extract analysis package,"Temporal, semantic, sentiment, entity, hierarchy, quote/chapter candidates",Do not make model inference an unreviewed factual authority,README.md
materia-collider,Time-coded clip database and rough-cut assembly,Focused MVP,Extract clip ledger package,"Clip annotations, search, gap analysis, EDL/CSV/Markdown export, usage history",Do not duplicate Media Ark's master-asset identity,README.md
praxis-perpetua,Episode production templates and QA,Deep process corpus,Adapt specifications,"Preproduction, structure, clip log, SEO, Shorts, metrics, postmortem",Do not hard-code Object Lessons' specific runtime into every show,content-pipeline/templates/object-lesson-episode.md
object-lessons,"Episode/editorial schema, research DB, collaborator dashboard",Deployed editorial application,Extract schema/UI patterns,"MDX/Zod content collections, pipeline timeline, submissions, OG generation, object segment",Do not collapse its independent artistic identity into the SaaS,README.md; CLAUDE.md
speech-score-engine,Temporal speech and dialogue diagnostics,"Executable scaffold; design-rich, implementation-early",Preserve as R&D dependency,"Phrase-event ontology, timing, speaker differentiation, pacing/overlap diagnostics",Do not block launch on it,README.md; docs/product/speech-score-system-definition.md
vox--architectura-gubernatio,Voice governance and anti-pattern validation,Implemented and tested,Extract package / retain engine,"Voice profiles, invariants, anti-patterns, corpus comparison",Do not use one voice profile for all people and channels,README.md
vox--publica,Human voice-QA interface,Implemented review surface,Adapt operator UI,"Compare, score, submit, approve/reject",Do not expose internal persona machinery to guests,README.md
collective-persona-operations,Composable persona registry,Planning/theoretical,Adapt specification,"Persona interface, registry, context rules, state transitions, composition",Do not claim runtime implementation exists,README.md
agentic-titan,"Agent orchestration, approvals, audit, budgets",Production-hardened general system,Extract narrow infrastructure,"HITL, RBAC, DAGs, model routing, budgets, audit logs",Do not deploy an unconstrained agent swarm for v1,README.md
editorial-standards,Editorial document governance,Defined governance system,Adapt specifications,"Document types, frontmatter, rubric, vocabulary, review gates",Do not create bureaucracy that slows pilot recording,README.md
the-actual-news,Claim/evidence provenance and publish gate,Substantial full-stack platform,Extract bounded packages/patterns,"Claims ledger, evidence objects, corrections, event outbox, public/internal boundary",Do not import the civic-news product wholesale,README.md
announcement-templates,Single-source multi-channel communication compiler,Deep template/governance library,Adapt template system,"Variables, channel formats, tone modifiers, publication checks",Do not duplicate Content Engine asset generation,README.md
social-automation,Distribution dispatch,Implemented with partial channel coverage,Retain as service,"Event ingestion, scheduling, adapters, retries, receipts, analytics",Do not make it editorial source of truth,README.md
a-i--skills,Agent playbooks for outreach and distribution,Reusable prompt/policy corpus,Adapt to show policies,"Research, give-first outreach, concise asks, content pyramid, analytics",Do not inherit generic follow-up cadences without show overrides,skills/professional/networking-outreach/SKILL.md; skills/professional/content-distribution/SKILL.md
kerygma-pipeline,Distribution orchestration placeholder,Thin/placeholder,Fold and archive as precursor,Any unique docs or event vocabulary,Do not maintain a competing active distribution center,README.md
